age,mattress,bank,bonds,stocks,total
21,0.0,0.0,0.0,1725.72,1725.72
22,0.0,0.0,0.0,2682.8852400000005,2682.8852400000005
23,0.0,0.0,0.0,2907.504467712,2907.504467712
24,0.0,0.0,0.0,2306.774509067059,2306.774509067059
25,0.0,0.0,0.0,3203.789191483665,3203.789191483665
26,0.0,0.0,0.0,6604.803029387202,6604.803029387202
27,0.0,0.0,0.0,7711.925873337494,7711.925873337494
28,0.0,0.0,0.0,13077.360026535438,13077.360026535438
29,0.0,0.0,0.0,18837.548819010855,18837.548819010855
30,0.0,0.0,0.0,12956.279066372419,12956.279066372419
31,0.0,0.0,0.0,18301.23757700626,18301.23757700626
32,0.0,0.0,0.0,19286.72396365919,19286.72396365919
33,0.0,0.0,0.0,18300.790516736753,18300.790516736753
34,0.0,0.0,0.0,17010.53956774947,17010.53956774947
35,0.0,0.0,0.0,21701.500002887045,21701.500002887045
36,0.0,0.0,0.0,28640.61590361054,28640.61590361054
37,0.0,0.0,0.0,35519.28511006763,35519.28511006763
38,0.0,0.0,0.0,49872.133036493855,49872.133036493855
39,0.0,0.0,0.0,46766.75222151742,46766.75222151742
40,0.0,0.0,0.0,50461.02333703633,50461.02333703633
41,0.0,0.0,0.0,54605.7016672474,54605.7016672474
42,0.0,0.0,0.0,64598.54507235368,64598.54507235368
43,0.0,0.0,0.0,84501.35680914584,84501.35680914584
44,0.0,0.0,0.0,104511.2781015516,104511.2781015516
45,0.0,0.0,0.0,123480.07507698321,123480.07507698321
46,0.0,0.0,0.0,121985.9661685517,121985.9661685517
47,0.0,0.0,0.0,186101.7899867425,186101.7899867425
48,0.0,0.0,0.0,246770.97352242054,246770.97352242054
49,0.0,0.0,0.0,265130.73395248863,265130.73395248863
50,0.0,0.0,0.0,237398.0591810583,237398.0591810583
51,0.0,0.0,0.0,341188.490655017,341188.490655017
52,0.0,0.0,0.0,382335.8226280121,382335.8226280121
53,0.0,0.0,0.0,383635.7644249474,383635.7644249474
54,0.0,0.0,0.0,485836.33206775336,485836.33206775336
55,0.0,0.0,0.0,443034.1512125843,443034.1512125843
56,0.0,0.0,0.0,543204.1728017495,543204.1728017495
57,0.0,0.0,0.0,632398.2979757969,632398.2979757969
58,0.0,0.0,0.0,710815.6869247957,710815.6869247957
59,0.0,0.0,0.0,639947.3629383936,639947.3629383936
60,0.0,0.0,0.0,792254.8353177313,792254.8353177313
61,0.0,0.0,0.0,877897.5830155781,877897.5830155781
62,0.0,0.0,0.0,805558.8221750944,805558.8221750944
63,0.0,0.0,0.0,834236.7162445278,834236.7162445278
64,0.0,0.0,0.0,952865.1772944996,952865.1772944996
65,0.0,0.0,0.0,1131622.6845549478,1131622.6845549478
66,0.0,0.0,0.0,969687.4783951348,969687.4783951348
67,0.0,0.0,0.0,718538.4214907949,718538.4214907949
68,0.0,0.0,0.0,984397.637442389,984397.637442389
69,0.0,0.0,0.0,1218979.5944449103,1218979.5944449103
